200209050nyg,1,5,1,5,2002,20.633333, outdoors, grass,39, San Francisco 49ers -4.0,0,16,13, /coaches/MariSt0.htm, /coaches/FassJi0.htm,0,0,0,0,0,0,6.083333492,200,31,46,0.088333333,918,1472,10593,75,34,537,67,387,4,47,191,902,11,22,91.39775815,5.916666508,215,30,95,235,162,1572,7,60,1462,6334,19,285,22,62,6.25,224,28,99,713,438,6512,61,310,11,85,1,4,9,70,6.25,265,26,34,14,12,74,1,3,0,0,0,0,0,1,6.333333492,218,29,104,536,327,4205,29,137,1,6,0,0,3,42,6.25,256,22,17,69,44,398,3,23,0,0,0,0,1,5,6.25,289,31,121,57,6.333333492,293,27,59,28,6.416666508,310,25,48,28,6.416666508,325,30,133,46,6.666666508,315,29,111,46,6.333333492,256,25,41,0,3,2,0,0,5,92,68,24,12,0,6.25,291,29,124,0,10,6,6,0,62,408,342,66,46,3,6.166666508,300,31,144,2,11,8,3,0,54,414,274,76,22,0,6.333333492,260,22,16,0,4,2,1,0,6,51,42,9,12,0,6.25,245,23,28,2,13,0,2,1,8,112,77,35,15,0,6.166666508,245,26,81,2,12,2,7,0,7,502,366,136,21,0,5.916666508,230,22,15,2,3,0,1,0,0,56,42,14,2,0,6,191,25,32,8,27,0,1,0,0,143,126,17,2,0,5.75,187,24,33,5,21,2,1,0,0,142,119,23,3,0,6,210,26,65,8,20,6,4,0,4,339,282,57,19,0,6.083333492,204,27,72,15,19,2,2,0,0,183,152,31,2,0,5.916666508,200,26,18,26,18,48,48,80,4715,7,2,6.166666508,205,23,17,74,2996,4,24,2,5.916666508,190,22,10,0,0,0,0,0,0,6.416666508,247,29,99,0.162144403,1702,3115,20133,108,113,1122,187,1251,13,51,241,533,8,83,70.98782772,5.833333492,205,26,78,427,300,2643,7,123,684,2988,15,142,29,41,6.25,203,27,91,518,283,4101,25,208,10,109,1,6,6,37,5.916666508,210,25,65,451,248,3419,21,172,9,61,0,3,2,27,6.416666508,265,25,47,39,21,194,4,14,0,0,0,0,1,1,6.416666508,251,21,0,0,0,0,0,0,0,0,0,0,0,0,6.5,308,25,50,21,6.25,310,22,2,0,6.416666508,310,25,16,1,6.333333492,305,26,52,6,6.583333492,315,24,27,6,6.083333492,236,23,16,1,1,0,0,0,0,29,22,7,0,0,6.416666508,255,30,139,4,9,16,9,1,87,514,399,112,56,1,6.333333492,303,25,34,0,7,0,2,0,10,103,79,24,19,0,6.5,295,30,158,0,9,8,14,0,63,467,277,118,30,1,6.333333492,265,28,79,2,9,10,5,0,26,188,141,47,23,0,6.25,245,24,30,1,4,0,1,0,1,69,54,15,10,0,6.166666508,245,31,144,2,12,17,10,0,38,888,607,255,34,0,5.833333492,195,23,13,4,14,0,1,0,0,45,41,4,2,0,6,200,22,16,1,0,0,0,0,0,0,0,0,0,0,6.166666508,218,25,59,8,28,2,1,0,2,250,197,53,11,0,5.916666508,205,27,80,4,4,1,3,0,4,164,128,36,2,0,5.75,203,26,0,0,0,0,0,0,0,0,0,6.166666508,246,24,0,0,0,0,0,0,5.833333492,205,26,66,29,578,0,123,1189,1
200209080buf,1,1,1,8,2002,13.066667, outdoors, astroturf,43, New York Jets -3.0,0,37,31, /coaches/EdwaHe0.htm, /coaches/WillGr0.htm,0,0,0,0,0,0,6.416666508,235,38,194,0.230443435,3271,5833,40379,247,235,1168,354,2588,28,123,383,1589,12,97,74.98678496,5.916666508,210,28,114,450,352,2528,8,109,2457,9778,72,538,26,90,6.166666508,230,30,120,377,266,2225,10,99,186,695,2,46,10,23,5.833333492,188,28,109,794,472,6053,32,312,4,4,0,1,7,54,5.916666508,200,24,30,157,89,1361,8,64,13,130,0,6,1,13,5.833333492,193,22,6,19,3,60,0,3,1,6,0,0,0,0,6.583333492,309,27,60,27,6.333333492,300,25,38,3,6.333333492,289,30,129,80,6.416666508,306,25,46,19,6.5,330,22,8,1,6.416666508,290,24,33,1,5,2,2,0,13,116,85,31,19,0,6.25,280,29,75,0,2,0,3,0,14,97,72,25,18,0,6.25,310,-1,55,0,0,3,0,0,9,182,129,53,6,0,6.333333492,263,23,23,0,0,8,3,1,17,83,69,14,17,0,6.25,258,32,173,13,15,25,12,1,53,1120,541,200,30,0,6.166666508,244,29,111,4,11,9,5,0,9,810,556,224,19,0,6.166666508,245,26,47,4,9,3,3,0,6,341,228,113,14,0,5.833333492,190,28,98,34,66,2,6,0,2,345,284,61,5,0,6,205,28,84,18,44,7,5,2,7,306,268,38,8,0,6.25,225,27,78,7,24,2,0,0,2,359,279,80,9,0,6.166666508,223,28,57,10,24,0,6,0,0,227,160,67,6,0,6.25,240,27,82,179,129,181,178,401,26262,84,11,6.416666508,251,33,115,587,25251,71,195,17,5.833333492,193,22,6,2,40,0,6,82,0,6.416666508,238,29,131,0.22989418,2673,4770,30992,172,150,1397,279,1909,21,93,283,560,2,72,74.77026555,5.75,215,23,13,27,22,179,0,6,213,729,4,39,5,4,6,225,33,177,973,784,6433,28,271,588,2065,12,93,19,64,5.916666508,190,25,49,286,143,2112,13,93,9,136,0,4,6,18,6.166666508,210,28,97,627,354,5467,29,241,22,131,0,5,8,50,6.416666508,255,28,76,276,173,1958,20,101,0,0,0,0,2,17,6.25,325,24,12,5,6.25,300,-1,16,0,6.416666508,300,27,34,11,6.416666508,325,23,10,1,6.5,370,21,0,0,6.166666508,283,31,137,0,8,4,5,0,32,358,232,95,16,0,6.25,325,22,7,0,0,0,0,0,0,10,7,3,1,0,6.25,317,29,61,0,0,2,2,0,8,164,119,45,25,0,6.333333492,243,24,16,0,2,0,0,0,6,42,31,11,7,0,5.833333492,242,26,71,6,16,5,0,0,13,400,308,92,41,1,6.083333492,240,31,170,5,15,10,14,0,23,769,477,171,24,0,5.75,180,24,44,6,25,1,1,0,0,195,172,23,4,0,6,205,22,16,3,14,3,0,0,1,67,57,10,2,0,6,225,23,0,0,0,0,0,0,0,0,0,0,0,0,5.916666508,188,24,34,1,14,4,0,0,1,137,106,31,2,0,6.083333492,192,24,44,1,10,0,6,0,0,63,54,9,1,0,5.583333492,179,29,116,235,191,264,261,360,21832,22,23,6,174,25,16,80,3262,7,16,2,5.75,180,25,41,138,3373,2,76,949,1
200209080car,1,1,1,8,2002,13.066667, outdoors, grass,33, Pick,-1,7,10, /coaches/BillBr0.htm, /coaches/FoxxJo0.htm,0,0,0,0,0,0,6.25,223,24,2,0,2,3,19,0,0,1,0,0,0,0,11,8,0,5,84.02777778,5.916666508,245,-1,20,44,32,336,0,10,412,1702,10,78,7,13,5.916666508,237,24,5,0,0,0,0,0,0,0,0,0,0,0,6.083333492,200,23,27,157,76,912,7,48,8,72,0,4,1,8,6,194,25,31,90,45,685,6,34,2,7,0,1,1,5,6.416666508,252,21,14,27,17,217,1,12,0,0,0,0,1,2,6.75,345,27,98,69,6.333333492,292,24,0,0,6.25,305,27,53,15,6.416666508,345,24,18,6,6.25,350,27,46,17,6.416666508,345,22,0,0,0,0,0,0,0,0,0,0,0,0,6,320,25,13,0,1,0,0,0,1,16,12,4,5,0,6.25,290,21,0,0,0,0,0,0,0,0,0,0,0,0,6.25,247,26,22,0,0,0,1,0,1,21,19,2,4,0,6.083333492,250,23,18,0,0,0,1,0,0,6,6,0,0,0,6.083333492,240,26,98,14,34,6,6,0,18,926,735,191,47,1,6.333333492,255,27,86,0,8,12,3,0,54,285,206,79,35,0,6.083333492,206,24,54,12,55,0,1,0,0,184,163,21,5,0,5.916666508,175,24,18,1,1,1,0,0,0,17,16,1,0,0,6.083333492,220,27,38,0,0,0,1,0,1,45,36,9,1,0,5.916666508,205,23,0,0,0,0,0,0,0,0,0,0,0,0,5.916666508,180,33,184,345,279,352,349,779,47835,102,42,6.25,220,23,0,0,0,0,0,0,6.083333492,206,24,32,1,12,0,5,44,0,6,230,35,91,0.326782531,1136,1986,13984,64,78,280,212,1176,13,50,269,1143,16,71,73.46634777,5.916666508,230,31,103,191,143,1114,7,50,1156,4277,33,230,20,34,6.166666508,215,28,81,623,368,4686,22,228,3,13,0,1,6,47,5.75,195,22,15,20,10,154,0,8,4,43,0,3,8,5,6.416666508,240,35,174,685,418,4895,50,272,0,0,0,0,3,46,6.333333492,252,28,50,68,40,371,3,25,0,0,0,0,0,3,6.5,308,31,137,70,6.333333492,320,24,30,5,6.333333492,300,27,60,21,6.416666508,310,33,171,55,6.416666508,295,26,47,22,6.583333492,295,21,0,0,0,0,0,0,0,0,0,0,0,0,6.166666508,305,30,127,1,11,3,5,1,22,314,223,91,21,0,6.333333492,360,22,16,0,0,0,1,0,2,34,27,7,7,0,6.416666508,275,26,48,0,4,4,1,0,14,128,104,24,24,0,6.166666508,244,29,112,3,12,8,5,2,23,599,467,132,15,0,6.166666508,245,23,11,1,2,0,1,0,1,67,45,22,6,0,6.25,247,24,27,1,3,1,0,0,2,53,49,4,4,0,5.75,181,26,70,3,8,4,4,0,2,200,159,41,6,0,6,190,24,13,1,1,0,0,0,1,28,24,4,2,0,5.833333492,195,27,68,8,28,7,7,0,6,394,302,92,7,0,6.166666508,215,22,16,5,13,0,0,0,1,71,59,12,2,0,5.833333492,210,32,159,294,237,281,274,650,40066,78,36,5.833333492,215,28,98,503,21924,67,146,17,5.75,195,22,15,56,1431,2,34,364,1
200209080chi,1,1,1,8,2002,13.066667, outdoors, astroplay,41, Chicago Bears -4.5,1,23,27, /coaches/TiceMi0.htm, /coaches/JaurDi0.htm,0,0,0,0,0,0,6.333333492,260,24,30,0.080856643,562,899,6929,50,32,333,71,385,6,31,169,953,12,30,90.00046348,5.75,205,23,13,38,29,226,1,9,172,682,2,28,0,6,6.25,272,24,42,57,43,320,0,15,35,115,1,8,4,4,6.333333492,210,24,70,598,336,5998,60,245,11,90,0,5,7,61,6.166666508,212,26,24,28,15,221,1,9,1,2,0,0,0,2,6.083333492,250,30,96,204,134,1685,6,77,0,0,0,0,3,14,6.333333492,305,31,112,28,6.333333492,302,31,111,33,6.333333492,310,25,59,24,6.416666508,343,32,114,46,6.416666508,321,26,33,10,6.333333492,271,26,66,1,6,1,1,0,7,155,93,62,14,0,6.166666508,296,23,34,0,4,2,1,0,8,100,76,24,23,0,6.333333492,325,24,24,0,1,0,0,0,3,30,18,12,6,0,6.333333492,250,28,94,1,5,12,4,3,33,241,192,49,23,0,6.083333492,250,22,16,0,0,3,0,0,2,15,10,5,2,0,6.166666508,253,32,150,3,14,9,5,0,14,953,722,221,25,0,6.166666508,240,27,76,1,10,2,1,0,6,202,164,38,22,0,6.083333492,204,25,63,5,15,1,0,0,0,195,160,35,8,0,5.833333492,201,24,16,2,7,1,0,0,0,80,63,17,2,0,6.083333492,216,23,0,0,0,0,0,0,0,0,0,0,0,0,5.833333492,188,31,120,13,16,2,4,0,2,360,294,53,4,1,6,180,31,118,192,154,251,247,457,28164,40,26,6.166666508,210,28,75,428,17672,42,145,6,6,180,22,0,0,0,0,0,0,0,6.166666508,226,30,28,0.23992674,433,737,4466,23,23,206,25,144,4,12,42,16,0,14,73.69120308,6.166666508,225,24,15,31,23,189,0,9,293,1219,7,58,0,10,6.166666508,250,28,82,187,130,1032,6,50,129,456,3,28,4,12,6.083333492,215,22,30,111,59,545,1,26,1,15,0,1,1,5,6,205,25,41,268,168,1798,13,95,7,17,0,0,4,17,6.25,268,30,119,174,96,960,12,51,0,0,0,0,3,8,6.25,310,22,0,0,6.416666508,315,25,25,8,6.166666508,292,24,49,19,6.25,318,28,89,33,6.583333492,329,33,154,61,6.333333492,304,27,71,0,17,2,1,0,14,177,147,30,25,0,6.416666508,365,33,181,2,7,5,3,0,26,589,370,122,11,1,6.166666508,337,32,158,2,9,7,3,0,12,299,188,44,21,0,6.5,310,28,92,0,16,8,6,0,36,242,195,47,37,0,6.25,250,24,41,2,11,7,3,0,15,124,103,21,16,0,6.333333492,258,23,33,5,13,2,3,1,15,253,199,54,26,0,6.083333492,235,26,43,1,12,5,1,0,3,263,216,47,10,0,5.833333492,194,25,59,5,23,1,3,1,2,200,170,30,6,0,5.833333492,195,24,47,3,14,2,1,0,3,124,105,19,3,0,6,195,25,24,0,4,2,1,0,3,74,66,8,2,0,5.833333492,207,23,33,6,13,3,2,0,3,176,146,30,5,0,5.666666508,175,23,33,59,48,57,57,135,8103,8,8,6.083333492,188,27,85,496,20757,47,164,10,6,222,27,45,52,1179,1,120,1148,1
200209080cin,1,1,1,8,2002,13.066667, outdoors, grass,37, Cincinnati Bengals -3.0,1,34,6, /coaches/SchoMa0.htm, /coaches/LeBeDi0.htm,0,0,0,0,0,0,6,209,22,1,0,15,27,221,1,0,11,2,12,0,1,2,18,0,2,94.83024691,5.833333492,215,22,16,74,59,367,0,12,339,1236,10,68,8,10,6,247,29,67,116,81,490,3,22,20,27,1,3,1,5,6.083333492,196,30,124,847,460,6416,42,288,43,416,1,17,8,60,5.666666508,180,26,51,166,87,1575,11,73,24,112,2,4,9,19,6.333333492,250,26,55,208,124,1318,9,79,0,0,0,0,4,11,6.333333492,320,24,18,7,6.25,305,26,62,18,6.25,300,28,65,30,6.333333492,349,20,0,0,6.25,300,30,110,39,6.333333492,275,27,80,1,5,10,4,0,32,185,130,55,26,0,6.25,348,25,44,1,3,1,1,0,2,87,75,12,14,0,6.25,295,29,113,3,3,4,5,0,19,228,162,66,28,1,6.25,272,31,123,0,1,0,3,1,35,80,62,18,22,0,6.25,244,23,0,0,0,0,0,0,0,0,0,0,0,0,6.166666508,227,28,95,10,16,7,8,1,14,625,483,142,34,0,6.25,250,32,193,15,26,10,16,1,44,1435,815,175,37,0,5.833333492,190,28,82,9,22,6,2,0,6,224,188,36,2,0,6.166666508,210,31,145,30,37,2,10,0,1,637,510,94,7,0,6.083333492,220,29,114,24,38,6,7,0,19,674,536,138,19,0,6.166666508,207,24,32,2,7,2,1,0,1,149,117,32,2,0,6,195,34,193,382,303,401,395,809,48883,120,37,6.416666508,235,36,113,604,26909,50,184,21,6,220,-1,72,217,5213,4,186,1974,4,6.25,237,30,77,0.143623737,1121,2064,14345,70,62,703,135,923,6,50,129,224,5,41,75.09084302,6.083333492,225,27,78,213,138,1113,5,43,1413,6209,36,319,15,47,5.916666508,195,24,32,263,121,1259,5,68,24,162,2,8,5,11,6.166666508,200,24,12,42,21,228,0,14,0,0,0,0,3,2,6.333333492,255,24,0,0,0,0,0,0,0,0,0,0,0,0,6.416666508,307,22,0,0,6.5,325,34,193,128,6.416666508,305,29,100,39,6.333333492,305,31,88,38,6.416666508,311,25,54,13,6.416666508,340,26,94,39,6.416666508,290,33,113,0,5,5,5,1,14,244,198,46,13,0,6.166666508,304,29,112,0,5,0,3,0,16,193,147,46,31,0,6.083333492,292,26,71,0,3,0,4,0,16,195,130,65,22,0,6.333333492,285,22,15,2,5,0,0,0,8,54,41,13,11,0,6.166666508,250,27,54,0,1,3,2,0,3,67,47,20,7,0,6.25,240,26,47,2,10,4,2,1,13,285,213,72,30,0,6.166666508,242,25,63,5,15,4,7,0,13,458,370,88,34,0,6,190,29,118,17,38,2,3,0,5,445,379,66,9,0,5.833333492,195,25,60,6,30,6,4,0,1,256,228,28,2,0,6,213,25,48,2,8,0,2,0,4,146,111,35,6,0,5.916666508,205,24,21,1,9,1,3,0,2,68,60,8,5,0,6.166666508,218,23,16,84,3372,6,21,1,6.083333492,202,25,32,49,29,45,44,102,6161,12,0,6.166666508,200,24,12,10,185,0,12,163,0,,,,,,,,,,
